clust,Balance,Qual_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
2,28143,0,174,1,0,0,7000
2,19244,0,215,2,0,0,6968
2,41354,0,4123,4,0,0,7034
2,14776,0,500,1,0,0,6952
2,97752,0,43300,26,2077,4,6935
2,16420,0,0,0,0,0,6942
2,84914,0,27482,25,0,0,6994
2,20856,0,5250,4,250,1,6938
2,443003,0,1753,43,3850,12,6948
2,104860,0,28426,28,1150,3,6931
2,40091,0,7278,10,0,0,6959
2,96522,0,61105,19,0,0,6924
2,43382,0,11150,20,0,0,6924
2,43097,0,3258,6,0,0,6918
2,17648,0,0,0,0,0,6912
2,28495,0,49442,15,0,0,6912
2,51890,0,48963,16,0,0,6910
2,13958,0,4291,5,0,0,6905
2,91473,0,27408,17,0,0,6903
2,23354,0,10447,5,0,0,6896
2,120576,0,58831,23,250,2,6896
2,185681,2024,13300,16,1800,9,6896
2,20584,0,3450,11,3450,11,6884
2,66275,0,2533,11,150,1,6884
2,205651,500,4025,21,700,4,7932
2,20726,0,1375,4,0,0,7924
2,18521,0,1227,2,1227,2,7917
2,8828,0,0,0,0,0,7914
2,59763,0,33772,20,100,1,7907
2,19221,0,4655,8,500,1,7896
2,177926,0,20797,13,0,0,7886
2,10021,0,0,0,0,0,7879
2,276571,0,42044,23,0,0,7872
2,18047,0,100,1,0,0,7868
2,43832,0,0,0,0,0,7865
2,123759,0,50572,23,2500,5,7865
2,23193,0,650,4,550,3,7861
2,68666,0,350,2,350,2,7861
2,59990,0,27878,17,0,0,7854
2,2176,0,0,0,0,0,7847
2,34616,0,1750,4,500,1,7850
2,10470,0,38094,26,0,0,7840
2,60313,0,10000,26,3250,9,7829
2,619393,0,15008,14,0,0,7819
2,121260,0,18493,18,0,0,7808
2,288865,967,23600,14,2000,4,6884
2,92336,0,11214,6,0,0,6884
2,36924,0,5900,6,300,2,6879
2,70312,0,34678,24,500,1,6875
2,17051,0,1150,4,1150,4,6868
2,108137,0,6368,5,6368,5,6844
2,1300,0,370,1,0,0,6868
2,118531,0,44577,38,0,0,6868
2,121395,0,4970,8,650,2,6889
2,38348,0,0,0,0,0,6861
2,14448,0,1625,6,0,0,6856
2,75971,0,34339,14,0,0,6869
2,36298,0,3100,5,600,3,6865
2,38077,0,34024,8,0,0,6837
2,95118,0,23188,23,2200,7,6865
2,134457,0,15588,14,0,0,6861
