,review_title,rate,review_body
0," Exceptionally painful to watch but Will Smith's performance is very, very nice.",9,"""The Pursuit of Happiness"" is one of the more painful to watch films I have ever seen. Now I am NOT saying it's a bad film--but it's very hard watching the main character, as his life is an absolute mess and you really want to see him succeed in spite of a horrible series of downturns.The film begins with Chris (Will Smith) playing a struggling father and husband. His salesman job is not working out at all--and that's a problem, as without sales he cannot get paid. At the same time, his wife is clearly not happy--and hates to have a failure for a husband--and she sees him as a failure. Beyond this, time and time again, he has many, many setbacks in life until eventually his wife leaves. Now, without a salary, he's trying to somehow work something out so he can keep his son, Christopher (Jaden Smith--Will's real life son). But, before things can get better, things get a lot worse...and it truly is painful to watch as he scrambles to somehow make it.Whether or not you enjoy this film really depends on if you can stick with it. Considering how painful it becomes and how much you like the guy, it's a real chore to stick with it. No matter how many times bad things happen to Chris, it just keeps coming! But, on the other hand, the film is worth it if you stick with it. Will Smith's acting is just terrific--I was amazed how much he could convey with just his eyes. I can understand why he was nominated for the Oscar for Best Actor for this film. And, since it's based on a real story about real people, it does (FORTUNATELY) end well and is a very satisfying film overall."
1, Never give up,8,"A father and salesman is in ""The Pursuit of Happiness"" in this 2006 film starring Will Smith, Thandie Newton, and Jaden Smith. This is the real-life story of Chris Gardner, who was eking out a living selling bone density scanners while his wife (Newton) worked double shifts at a hospital. They weren't making it financially. One day Gardner sees a man get out of fancy car and asks him how he made it. The man says he's a stockbroker. Chris applies to the Dean Witter Reynolds apprentice program, unaware that there's no salary. He gets in by being terribly persistent. Then his wife leaves him, and Chris insists that their son (Jaden Smith) be left with him.""Pursuit of Happiness"" is a very warm and above all, a very inspiring story about family, determination, and never letting go of one's dream. Very few people, I think, could or would have tolerated what Gardner did in order to make a better life for himself and his son. The two were homeless on and off, and those scenes are devastating. The apprentice program takes 20 people, and only one is chosen, yet Chris goes for it, bringing everything he owns to work when he had no place to live. How he holds it together and talks to clients and makes contacts is incredible. Frankly, if this weren't a true story, I would still have liked it but wondered how possible any of it even was.Will Smith has proved himself an excellent actor in the past - the way he completely submerged his personality into Mohammed Ali is a good example. Here, he's a charming, bright person who is always a day late and a dollar short. Through Smith's performance, one can feel Gardner's pain, frustration, and joy.The film's message is clear - the brick walls aren't there to keep you out, they're there to keep out the people who don't really want to get to the other side. And family is everything. In his pursuit of happiness, Chris Gardner goes after his dream on his own terms, integrity and humor intact, relentlessly, all the while knowing that the most important thing is the little boy at his side."
2," If You've Ever Been Poor, This Movie May Be Hard to Watch",8,"If you've ever been poor, this movie may be hard to watch. It depicts poverty in America in gut wrenchingly accurate ways. I've been as poor as Chris Gardner, and, like him, I've been poor among very rich people in the Bay Area while trying to work my way up.Chris Gardner is a loving father and failing businessman. He is chosen for a competitive internship at Dean Witter, a stock brokerage. The internship, which offers Chris a very long shot at a better life, doesn't pay any salary. Chris has to live without a salary for six months while risking just about everything for that long shot gamble.Chris is really smart. He can solve a Rubrik's cube in minutes. But, he's poor. Poverty, like an octopus, keeps trying to suck him down to the bottom, and make him stay there.His car is towed. His wife walks out on him, leaving him with a five year old son. He is arrested for unpaid traffic tickets. He becomes homeless. He has to rely on a homeless shelter.All this while, he must appear for work in the morning in a suit and tie, and be ready to charm some of the wealthiest and most powerful people in the Bay Area. These people take wealth so much for granted that two of them stiff him for cab fare.Having lived through similar experiences, I cringed throughout this movie. My stomach hurt. I winced. I cried. I hugged my knees to my chest.The movie is very accurate, but painful to watch. I hope a lot of rich people, who think that they understand poverty, see it.This movie will be politically controversial. First of all, it doesn't touch the race issue with a ten foot pole. For example, when Chris appears to stiff a taxi driver for fare (it was really the rich white guy who failed to pay), the taxi driver never uses the ""n"" word. In real life, I think he probably would have.Is the movie afraid to talk about race, or does it not want to? I don't know, but I know that some will protest the movie's not shoving race in the movie goer's face. I'm not one of those people. The movie's approach to race -- treating it as almost incidental -- worked for me. As a poor white person, I can tell you that poor white people face the same obstacles Chris did.Second, does the movie sell the message that if you work hard, you will succeed, no matter what, and does that message tell the truth about success in America? I think that the movie is open to interpretation. Some will see it as an indictment of poverty in America. The scene of carefree rich people driving past the line to get into a homeless shelter is pretty devastating. Other people will become angry because they believe that the movie's depiction of hard work leading to rewards, in some cases, is too facile. I disagree, but that's what you'll hear.Third, is this movie meant to chastise black men who abandon their children? Chris is a role model exactly because he moves heaven and earth to be a good father to his son. This will be debated back and forth.The movie has a big philosophical statement to make, that has been lost on many reviewers, for example, Richard Schickel in TIME.Chris is shown running throughout the movie. Remember the title of the movie: ""The PURSUIT of Happiness."" Chris places emphasis on ""pursuit."" Jefferson, when he penned the Declaration of Independence, did not promise Americans happiness, but only the right to pursue it. Chris says, at one point in the movie, paraphrase, ""I am happy right now. It is a fleeting moment."" We experience happiness in eyeblinks. The rest of the time we, like Chris, are chasing after it."
3," Will Smith is Oscar-worthy, no doubt about it.",9,"Here's the deal: It's real, it's heavy, and it's inspirational, but NOT AT ALL cheesy. Don't like that? Don't see it. I won't say much else. I will say that Will Smith was shockingly good now that he's paid his dues with ""Men in Black"" and ""Bad Boys.""I was very happy that this film never got political and blamed Reagan for the number of ""down on their luck"" people that were shown, nor was the race card ever pulled out. It was also refreshing that Smith's character never blamed anybody for his troubles.It's very funny at parts, but be prepared for some serious drama. In no ways is it cliché or contrived or boring. Let's just say that's it not Oliver Stone dramatic. This truly is a must see. To say ""I laughed, I cried"" would be really lame. It is the truth, though. We know that Scorsese's crowning achievement ""The Departed"" is going to take the cake at the Oscars, and I won't be complaining. But this movie deserves to be experienced and taken in by the masses."
4, Take your parents to see it over the holidays,8,"I was fortunate to see this movie in a screening. I really enjoyed it, and felt that it lived up to the teary and heartwarming trailer. While the movie has an uplifting ""go for your dreams"" message, the deepest theme is that of family.Will Smith did a great job as the father trying to protect his son from their circumstances of becoming homeless as much as he can, while at the same time trying to work in the competitive world of stocks as an un-paid intern. Jaden Smith was outstanding as the preschool-aged kid who knows things are going wrong and tries to have a stiff upper lip, but just can't do it all the time.The story is very touching and was close to home for me. My family has been through some tough times, and this movie just reminded me of how much my parents struggled to provide for our family and yet kept life fun as much as they could. I am excited to go see this with my parents as a way to say thank you."
5," Almost too heartbreaking to be uplifting even if it ultimately does it, but still engaging and driven by another very good performance from Will Smith",10,"Chris Gardner is a struggling salesman who finds himself having to look after his son when his wife gives up and leaves him. Using his charm as much as his academic record, Chris wins his way onto an internship programme of twenty, with only one job at the end. He has the determination to make it but with no salary and almost no income from his sales efforts, Chris finds himself homeless and increasingly desperate as he tries to keep up with his peers by day and survive the rest of the time.This is an unusual film that, were it totally successful, could be called a victim of that success. Certainly the story it is telling is uplifting and very much testimony to the determination and courage of one man to make it despite tremendous odds. OK so he is not diving into burning buildings to save babies but it is still an engaging and inspiring story because of the sheer endless scale of the challenge and disappointment. It also helps that the sheer weight of soul-destroying challenges that he works through makes it almost impossible for all but the hardest hearted viewer not to feel happy for Chris when he finally makes it (as we know he ultimately will, or else his story would not be a film!) even if ""making it"" is ""making money"", which some viewers may find to be not totally worthy in itself. Ironically though this same weight of events also works against the film because it does make it a consistently hard watch. It is praise in a way because I personally tensed up with every added sorrow and this happened because of how convincing and heartbreaking this festival of misery and unfairness was.A massive part of this working as well as it does is Smith's performance. I last saw him in I Am Legend where I thought that the narrative development in that film totally undid his wonderfully convincing performance in the first half. Here again he is quite brilliant  utterly convincing, showing a flicker of spirit deep within him while also clearly showing each kick, each challenge on his increasingly worn face. Smith junior could have been one of those terribly cute-kid type roles but just about avoids it. Sure he is cute but he is not annoying, mainly because of how natural he is. I think he is really helped by the fact that he does seem to be able to act (or at least ""pretend"") but more than he already has a relationship with his father that feeds their on screen one. They work well together but ultimately the film is owned by Will Smith, who is great.Overall then this is an engaging and ultimately inspiring film but not one that is a lot of fun to watch. By virtue of how convincing Smith and the overall delivery is, I felt the tension in my own body, felt the crushing blows of each misfortune or challenge. It helps the film in a way but it did seem like the ""uplifting"" material is a long time coming."
6, Great Movie,7,"I was blessed to have seen this movie last night. It made me laugh, it made me cry and it made me love life. This movie is a great movie that depicts a love of a father for his son. Will Smith did an incredible job and deserves every accolade available to him. His son also did a fantastic job.There is a great lesson that is learned in this movie and it truly shares the struggles of everyday life.This movie was heart felt and touching. It was truly an experience worth having. Thank you for making this movie and I look forward to seeing it again."
7, A Good Dramedy,8,"Chris Gardner is struggling in life to live up his tax expenses and other things. His wife now leaves him with his son. Chris will do what ever it takes to pay his expenses and to get a new job.Will Smith is a great actor, now taking serious roles. His acting, along with Thandie Newton and Jaden Smith, were great. This film is based on a true story by the life of Chris Garner who struggles with his life and is now a multi-millionaire.Although this film is depressing in many points, Will Smith's son, Jaden Smith, lifts up the screen. Thomas Jefferson says we need to pursue happiness. That's what Chris Gardner does. He never gives up. He could even inspire some people.This is a good, uplifting film. Great acting and has a great message. This will be a good family film and has it's father-son moments."
8, The Ultimate Guy Movie,7,"If you ever wanted to see a movie that portrayed what really makes a man, then you must see this movie.Forget Stalone. Forget Arnold. Forget Bond. Forget all those romantic comedy whimps. Bruce Willis never had to make this many life threatening decisions in Die Hard.Will Smith gives a better performance of toughness here than he did portraying Muhammed Ali. This movie is raw. This movie will force you to examine your manhood. See if you can look in the mirror after watching this film.Fathers, don't let the PG-13 rating fool you. This movie is not for kids. If you let your child see this movie you may regret it. Your child may never be able to look at you the same way again. Your child will wonder why you are not more like Chris Gardner."
9," heartwarming, tender, comforting",10,"I was a little reluctant before watching this movie, I have seen ""Seven Pounds"" recently, and found it disappointing (although saved by good acting) which, together with my low opinion of Muccino's Italian movies, contributed to my doubts on The pursuit of Happiness, but I had to reconsider my opinion, since I really appreciated it, and was able to stand the huge amount of advertising on Italian TV, which often destroys the pleasure of watching any movie.The plot is evidently but not annoyingly marked by the solid American belief that man's efforts and commitment lead to success, with that maybe too optimistic faith that everything will turn better, and your sacrifices will once get the deserved prize (although life often shows something different), but there's no pretence of too much didascalism, it's a quite realistic portray of the hardships of life, with a happy ending aimed at leaving the audience with some self-confidence and trust in others.The overall impression of anxiety, with all that running after people, appointments, occasions, is softened by some tender moments between father and son (at times melodramatic, but never too melodramatic) and also relieved by funny moments. The movie gets to leave to viewer with a positive sense of fullness of life (it could be titled The Pursuit of Life, since life, not only happiness, is to be pursued in every aspect), of the necessity to find a reason to go on, both for yourself and for the dear ones, with a strong meaning that there are really few valuable things in life, all the rest is pure nonsense. Really contrasting with Seven pounds, where a man, on the contrary, gives up and chooses death, leaving the viewer with a sense of sad surrender and illogical, besides humanly disturbing, self-abandonment.Will Smith truly fits the role, abandoning his rather blank face à la Fresh Prince of Bel Air, he offers a very effective and convincing performance and the young boy playing Christopher is really cute."
10, Amazing!,6,"I have been a fan of Will Smith for years and I have to say this may be his best film yet! ""The Pursuit of Happiness"" is just a wonderful (based on a true) story, full of adventure, hope, and pain. I saw the movie last night in a packed theater. Big Willie Weekend has returned, and for good reason! It's a great movie to see during the holidays and definitely a tear-jerker! Perfect for a date, a night out with friends, or even with family. If you ever thought Will Smith really couldn't act (and shame on you!), you'll think otherwise once you see this movie. You can really feel what he's going through just by looking in his eyes. And Jaden Smith is too adorable! Their on screen chemistry is almost unbearable to watch! Go see this movie! Great acting, great directing, great writing...you won't regret it!"
11, A Fool and His Lack of Money,4,"It was without doubt a good movie and more interesting than, say a comic book movie but also frustrating to watch. Its hard to watch sane healthy people who have no control over their lives. Of course it's an oppressive system we must live in which exploits our mistakes and misfortunes but a little thinking ahead can protect us from much of that. It seemed like his series of unfortunate events was compounded by his own poor decisions and irresponsibility. Also his own greed caused a lot of his problems. Why did he spend all of his savings on a bunch of bone scanners that he didn't know for certain he could sell? For the same reason people buy lottery tickets or blow all their money at casinos. I mean with those savings he could have made a significant down payment on a house and then got a regular job to pay the bills and meet his obligations to his wife and child. I found it hard to sympathize with this character who pursued wealth at the cost of his home and family. I thought he was a fool. Why didn't he pay his taxes? Why didn't he bother to check his last scanner after it had been in the possession of a crazy bum for several months before he showed it to a customer? Why did he get into the cab without enough money to pay the fare? Why did he get so many parking tickets? Were the police out to get him? Most intelligent people, after getting a few traffic tickets, learn how to keep from getting them. He admitted it was stupid to entrust a hippie with his bone scanner but then he turns around and devotes six months of his life to a few corporate suits, working like a slave without any certainty of any reward. And he claimed to be good with numbers? Trusting the hippie was far less stupid. But people who risk everything for the big payoff don't see that. Thats what this movie was about.Will Smith did a good job in a serious role. I was never once reminded of Wild Wild West or Men in Black. His struggle in the movie was the kind of thing typical in many people's lives and the movie portrayed it with painful honesty. That honesty went somewhere else however, at the end of the film when it became a commercial for Dean Witter(Morgan Stanley). I was okay with the movie until its ending and that turned my critical eye towards it. He doesn't just attain happiness by reaching his goal but by becoming a multi-millionaire as the screen text informs us, accompanied by lilting, upper octave piano. What happened to his kid? What happened to his wife? How was he with God? It doesn't matter because he's a rich stockbroker and therefore happy. Propaganda."
12, The Pursuit of Money,10,"The plot of this movie is about the pursuit of money, not happiness - unless you think that money equals happiness. The film itself isn't too bad, although a lot of the time you feel very frustrated. The endless running around while lugging that machine is like a nightmare. The metaphor of the burden isn't lost on me but I wish they'd fixed it sooner to save my throat from yelling at the screen for him to throw it away. The acting too is pretty good on the whole and maybe an American audience does equate money with happiness; the honesty of the plot and premise would seem to suggest so as there's no hint of irony in the use of the word and the goal of cash. It wasn't like he even wanted to be a stockbroker, it was just a way of making money. The plot device of having him see all the smiling stockbrokers (in possession of happiness) doesn't help, in fact it makes it worse as here too the movie is equating simple wealth with happiness. Maybe it is the American dream and I just don't get it. For the record, I've got nothing against wealth and money, I'm all for it, but I wouldn't create a story called 'The Pursuit of Happiness' (sic), then make the whole thing about the pursuit of money. Just my million cents worth..."
13, Meaningful and Uplifting,9,"My husband and I had an opportunity to attend a screener of this movie last night. We had seen several commercials and a trailer for the film and we had high hopes, we were not disappointed. Many times ""inspired by"" films feel like hard sells or bids for Oscar glory. ""Pursuit of Happiness"" is none of that. This is an honest, meaningful film that will stay with you long after you leave the theatre. The viewer becomes fully invested in the struggles of Chris Gardner and his son. Will and Jadyn Smith deserve huge kudos. The real-life father and son dynamic enriched the film and don't know if other actors could have been as powerful. Be warned, there are several tissue inducing moments. This movie is well worth a ticket!"
14," Great performances, inspiring story",9,"I was involved with one of the first test audiences almost a year ago, and came away quite impressed with the acting performances and heartfelt punch of Pursuit of Happiness. This is easily one of Smith's best films, as he pours his heart and soul into the main character. While the plot may remain a bit transparent, it leaves you asking the question of yourself - how long would you keep battling to get what you really want out of life? I plan on seeing the film again when it releases to the general public, and am very interested to see what changes were made after running it through the test screenings. As I saw it then, it needed very few, if any, changes."
15, Best movie ever. recommend 100%,10,"In this journey through the struggles and trials that single father, Chris Gardner, has to take, you see the real side of hardwork and integrity. Chris Gardner, played by Will Smith, Is just trying to give his son a good home as he's on the pursuit of happiness. This movie doesn't only show the hard work of a single parent, but it shows that no matter how hard you get pushed down, you should always get up and keep going. I love the strong connection that the father and son roles have in this movie, it seems so real, and that's because it is! The father (Will smith) and son (Jaden Smith) are father and son outside the movie realm too. Actor, Will Smith, shows his true emotional side during this film, as if he was actually going through the situations occurring in the movie. There couldn't have been a better cast picked for this movie, the pain, struggle, love, and hope seem so real as if you're watching a documentary on someone's life. Smith, usually looked at as a comedic actor, shows what he can really do by jerking the tears from the audience's eyes."
16," You got a dream... You gotta protect it. People can't do somethin' themselves, they wanna tell you you can't do it. If you want somethin', go get it.",7,"No one would make a movie about a guy struggling to succeed who doesn't ultimately succeed. Certainly, no one would make a Will Smith movie about a guy who breaks under the strain of his difficult life, abandons his child and dies. That's just not going to happen. And because we know that -- because we've seen more than one movie in our lives -- ""The Pursuit of Happiness"" has a particular challenge: To take the real-life rags-to-riches story of stockbroker Chris Gardner, a story with a preordained happy ending, and imbue it with tension and suspense.The great surprise of the picture is that it's not corny. It may have seemed that way from the trailer: Will Smith tells his son, ""Don't ever let anyone tell you that you can't do something -- even me."" But in context, even that moment isn't cloying. The beauty of the film is its honesty. In its outlines, it's nothing like the usual success story depicted on screen, in which, after a reasonable interval of disappointment, success arrives wrapped in a ribbon and a bow. Instead, this success story follows the pattern most common in life -- it chronicles a series of soul-sickening failures and defeats, missed opportunities, sure things that didn't quite happen, all of which are accompanied by a concomitant accretion of barely perceptible victories that gradually amount to something. In other words, it all feels real.Gabriele Muccino (""L'Ultimo Bacio"") directed it, and his fine Italian hand can be detected in Andrea Guerra's score, with its Italianate wistfulness and whimsicality, and in Muccino's very European enjoyment of American poverty and desperation. He finds both on the streets of San Francisco -- circa 1981, in this case, but some things don't change -- and he films them in a way that we're always aware: Our hero works hard. He's doing everything he can, and he has a son he is raising on his own. Yet even without a false move on his part, just an extra push of bad luck, he might land on those streets, and with such a thud he might never rise.As in all rags-to-riches tales, we find the protagonist, Chris, unappreciated and looked down upon at the start. He is struggling to make a go of it by selling bone-density scanners and spends his days lugging around a thing that looks like a movie projector case and hearing doctors tell him they're not interested. His wife disdains him. Actually, the treatment of the wife is the first hint that ""The Pursuit of Happiness"" is going to be an usually uncompromising movie. The wife (Thandie Newton) is a poisonous harpie, with no redeeming traits. The filmmakers are not messing around: Chris has it bad.In fact, he is an extraordinary man, but no one is paying attention to him long enough to notice. He decides he wants to get an internship as a stockbroker for Dean Witter and, realizing that his resume looks weak, he sets out to meet the man in charge and say a few words on his own behalf. Throughout the film, had Chris had just a little more pride and a little less intelligence, he would blow it. But he remains friendly and resilient, never indulging in anger, never letting anyone else's mistaken perception of him wound him at his core. He stays fixed on his objective and warm in his response to the world -- and even then, things don't improve right away.Having proceeded to establish Chris as a great guy, ""The Pursuit of Happiness"" puts him through hell. The wife leaving is just the beginning (actually that seems a little like good luck). Chris has to raise a son (played by Will Smith's own real-life son, Jaden Christopher Syre Smith) and do an unpaid internship, while selling those bone-density scanners on the side. If it weren't for the soup kitchens at Glide Memorial, he and his son often wouldn't eat.Will Smith has the right quality for the role -- he's an easy man to root for -- but he augments this by channeling some inner quality of desperation and need. Frankly, I don't know where he found it; Smith was touched by luck at a very young age. Yet he does find it. In the taxicab scene, in which he tries to impress a prospective employer by solving the Rubik's Cube, and in every other scene in which Chris has to sit or stand there smiling while another man pronounces on his fate, Smith is right there with the right emotions: absolute hope and total terror.This film is an amazing heartfelt performance certain to influence and motivate its audience to reach new heights. This film is based on a true gripping and dramatic story about a man who has nothing and his struggle toward success. The plot development can be slow but offers a lot of insight towards character development and explore these themes about patience and success and especially what motivates us and keeps us going. I recommend for everyone to watch this, whether rich businessman, student, or teacher for this will change everyone's perspective on life.In short - Amazing movie. Very poignant, relevant and uplifting. Leaves you thinking about it for days!!"
17, I'm still wiping the tears from my eyes,10,"I was so hesitant to see The Pursuit of Happiness for one reason, this movie looked like an incredible tear jerker, just from the trailer I was nearly crying. But my friend and I had been hearing incredible reviews about this movie, so we decided to suck it up and see the movie today and we were just blown away by how amazing Will Smith's performance was. He and his son were just so incredibly heart warming and really reminded you of the important things in life. I was so touched by Chris's story, he was so determined, this movie makes you wanna go out and achieve your dreams and to never let anyone tell you what is right and what is wrong, what you can and cannot do.Chris Gardner is a struggling salesmen trying just to make the rent, buy food, and take the best care of his son that he possibly can. When his wife leaves him and his son to go get a better life, Chris is left on his own, but he wins an internship at a stocks broker company that is very competitive. Against incredible odds, he just pulls through the ultimate lows of life and keeps his head up with his son by his side. They become homeless, living in hotels, homeless shelters, and even a cruddy subway bathroom! But Chris holds on to his ultimate dream of being happy and giving him and his son the life they truly deserve.This movie in every way possible is perfect, it was so brilliantly made and just so inspiring. Will Smith better be nominated for an Oscar next month! This was an incredible performance and his son was just so cute, I guess talent really does run in his family. :) I would highly recommend The Pursuit of Happiness this year! It was a beautiful film that makes you feel like you can achieve anything you truly put you heart too, I just wish I brought more tissues! 10/10"
